tt0041378	Follow Me Quietly	6.5	1594
tt0041385	The Force of Destiny	7.0	30
tt0041387	Francis	6.5	1255
tt0041392	Frontier Investigator	7.1	41
tt0041397	I fuorilegge	5.4	18
tt0041400	The Gal Who Took the West	6.2	264
tt0041405	The Gay Amigo	6.5	100
tt0041427	Die große Kraft	5.4	24
tt0041428	The Great Gatsby	6.6	709
tt0041430	The Great Sinner	6.6	1210
tt0041437	Guilty of Treason	5.9	180
tt0041445	The Hasty Heart	7.3	1347
tt0041452	The Heiress	8.2	14958
tt0041453	Hellfire	6.8	294
tt0041463	Child of the Night	3.6	6
tt0041473	Holiday Affair	7.1	4918
tt0041479	Curtain Call at Cactus Creek	6.4	103
tt0041487	House of Strangers	7.4	3231
tt0041495	I Married a Communist	6.0	1065
tt0041498	I Was a Male War Bride	7.0	8159
tt0041504	The Emperor of Capri	6.6	227
tt0041509	The Inspector General	6.8	3216
tt0041513	Intruder in the Dust	7.6	2154
tt0041514	It Happens Every Spring	6.9	1634
tt0041523	Jigsaw	5.7	809
tt0041526	John Loves Mary	6.2	443
tt0041528	Johnny Holiday	7.2	87
tt0041529	Johnny Stool Pigeon	6.7	470
tt0041530	Jolson Sings Again	6.7	639
tt0041538	Katka	7.0	51
tt0041555	Knock on Any Door	6.7	3425
tt0041573	The Lady Takes a Sailor	5.9	404
tt0041578	The Last Bandit	6.6	90
tt0041583	Law of the Golden West	7.0	17
tt0041590	The Life of Riley	6.8	254
tt0041591	La liga de las muchachas	6.0	22
tt0041596	Las locuras de Tin-Tan	6.8	40
tt0041599	Look for the Silver Lining	6.4	393
tt0041600	Lost Boundaries	7.0	466
tt0041604	Love Happy	5.8	2775
tt0041609	The Wolf of the Sila	7.2	103
tt0041610	Lust for Gold	6.8	1286
tt0041615	Madame Bovary	7.0	2506
tt0041616	Madness of the Heart	6.1	226
tt0041622	Malaya	6.6	1181
tt0041627	The Man in Black	6.0	253
tt0041628	The Man on the Eiffel Tower	5.8	841
tt0041631	Manhandled	6.6	714
tt0041633	Hand of Death	5.6	12
tt0041634	Manon	6.8	928
tt0041635	Manèges	6.8	267
tt0041638	Marechiaro	6.8	15
tt0041639	Margaret of Cortona	5.7	13
tt0041640	La Marie du port	6.7	384
tt0041642	Masked Raiders	6.8	104
tt0041643	Massacre River	6.2	197
tt0041649	My Beloved Juan	7.0	50
tt0041652	Miss Grant Takes Richmond	6.7	742
tt0041657	Santa Chiara kolostora	6.6	7
tt0041662	Mr. Belvedere Goes to College	6.9	739
tt0041663	Mr. Soft Touch	6.7	746
tt0041664	Mrs. Mike	6.4	125
tt0041668	Il Mulatto	6.2	11
tt0041672	My Foolish Heart	6.9	982
tt0041673	My Friend Irma	6.5	1021
tt0041675	The Mysterious Desperado	6.8	102
